area_type,location,size,bath,balcony,converted_sqft,availability,cluster,price
Super built-up  Area,Garudachar Palya,0.25,0.0,0.6666666666666666,0.0010131626975533345,Ready To Move,0,60.8
Super built-up  Area,EPIP Zone,0.25,0.0,0.6666666666666666,0.001146312478047504,Ready To Move,0,102.0
Built-up  Area,Hegde Nagar,0.5,0.33333333333333337,0.6666666666666666,0.0022949206419655968,Ready To Move,1,210.0
Super built-up  Area,Kanakpura Road,0.25,0.0,0.6666666666666666,0.0012733404295534355,Ready To Move,0,88.0
Super built-up  Area,Dasanapura,0.0,0.0,0.6666666666666666,0.0005410166368355041,Sep,0,37.0
Super built-up  Area,Kasavanhalli,0.25,0.0,0.6666666666666666,0.0008103771123179616,Ready To Move,0,58.06
Plot  Area,Rajaji Nagar,0.0,0.0,1.0,0.0005425470940825636,Ready To Move,0,160.0
Built-up  Area,Sanjay nagar,0.0,0.0,0.6666666666666666,0.0007644633949061791,Ready To Move,0,70.0
Super built-up  Area,Electronic City,0.0,0.0,0.3333333333333333,0.0007644633949061791,Dec,2,28.88
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0011088162754945483,Ready To Move,0,70.0
Plot  Area,ISRO Layout,0.25,0.0,0.6666666666666666,0.0009175091196121209,Ready To Move,0,155.0
Super built-up  Area,Thanisandra,0.25,0.0,1.0,0.000990971067470973,Aug,0,80.0
Super built-up  Area,Domlur,0.25,0.0,0.6666666666666666,0.001177686851612222,Ready To Move,0,90.0
Plot  Area,Kengeri,0.5,0.33333333333333337,0.3333333333333333,0.0022138064078714476,Ready To Move,1,245.0
Super built-up  Area,Sarjapura - Attibele Road,0.25,0.0,0.3333333333333333,0.001016988840670983,Ready To Move,2,48.0
Built-up  Area,Others,0.25,0.0,0.3333333333333333,0.0009175091196121209,Ready To Move,2,65.0
Built-up  Area,Others,0.25,0.0,0.3333333333333333,0.0009175091196121209,Ready To Move,2,90.0
Super built-up  Area,Yeshwanthpur,0.5,0.33333333333333337,1.0,0.001913836787447802,Ready To Move,0,138.0
Built-up  Area,Chandapura,0.0,0.0,0.3333333333333333,0.0004966333766707811,Ready To Move,2,17.0
Plot  Area,Kothanur,0.5,0.33333333333333337,0.3333333333333333,0.0018357834678477717,Ready To Move,1,150.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0007698199952708871,Ready To Move,0,43.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0009175091196121209,Ready To Move,0,50.0
Super built-up  Area,Others,0.0,0.0,0.6666666666666666,0.000738445621706169,Ready To Move,0,49.9
Built-up  Area,Nagarbhavi,0.25,0.0,0.3333333333333333,0.0012465574277298957,Ready To Move,2,98.0
Built-up  Area,Rajaji Nagar,0.25,0.0,0.6666666666666666,0.0012542097139651928,Ready To Move,0,229.0
Built-up  Area,Others,0.0,0.0,0.6666666666666666,0.0005976435549767026,Ready To Move,0,55.68
Super built-up  Area,Devanahalli,0.25,0.0,0.6666666666666666,0.0009634228370239034,Apr,0,66.78
Super built-up  Area,Others,0.25,0.0,1.0,0.0013766462937299462,Ready To Move,0,120.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.001080502816423949,Ready To Move,0,75.0
Super built-up  Area,Whitefield,0.25,0.0,0.3333333333333333,0.0008532299152356253,Ready To Move,2,51.91
Super built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0011700345653769249,Ready To Move,2,45.9
Built-up  Area,Ramamurthy Nagar,0.75,0.6666666666666666,0.3333333333333333,0.002830580678436393,Ready To Move,1,225.0
Built-up  Area,Sarjapur  Road,0.5,0.33333333333333337,0.6666666666666666,0.0019100106443301534,Ready To Move,1,140.0
Super built-up  Area,Kengeri,0.25,0.0,1.0,0.001177686851612222,Ready To Move,0,64.0
Super built-up  Area,Thanisandra,0.25,0.0,0.3333333333333333,0.0010981030747651322,Dec,2,74.75
Super built-up  Area,Malleshwaram,0.25,0.0,0.6666666666666666,0.00084098625725915,Jun,0,75.0
Plot  Area,Hennur Road,0.0,0.0,1.0,0.00021043787147066994,Ready To Move,0,23.0
Super built-up  Area,Thanisandra,0.25,0.0,0.6666666666666666,0.001091216017153365,Ready To Move,0,120.0
Super built-up  Area,Akshaya Nagar,0.5,0.33333333333333337,0.3333333333333333,0.0015763709644712003,Ready To Move,1,200.0
Super built-up  Area,Hebbal,1.0,0.9999999999999999,0.0,0.0042933151923134315,Mar,1,477.0
Built-up  Area,Shampura,0.5,0.33333333333333337,0.6666666666666666,0.0020270906237301986,Ready To Move,1,150.0
Super built-up  Area,Devanahalli,0.25,0.0,0.6666666666666666,0.0009802578667415572,Dec,0,68.52
Built-up  Area,Kadugodi,0.25,0.0,0.3333333333333333,0.0008027248260826645,Ready To Move,2,34.0
Built-up  Area,LB Shastri Nagar,0.25,0.0,0.6666666666666666,0.0012236005690240046,Ready To Move,0,65.0
Super built-up  Area,Others,0.0,0.0,0.3333333333333333,0.0007223758206120451,Jan,2,54.0
Super built-up  Area,Hormavu,0.25,0.0,0.3333333333333333,0.0011470777066710336,Ready To Move,2,78.0
Plot  Area,Vishwapriya Layout,0.0,0.0,0.0,0.0007262019637296937,Ready To Move,2,115.0
Built-up  Area,Others,0.25,0.0,1.0,0.001430212297377026,Ready To Move,0,110.0
Plot  Area,Sarjapur,0.25,0.0,0.3333333333333333,0.0012236005690240046,Ready To Move,2,75.0
Super built-up  Area,Electronic City,0.0,0.0,0.3333333333333333,0.0006726359600826141,Ready To Move,2,16.5
Plot  Area,Others,0.25,0.0,0.0,0.0009175091196121209,Ready To Move,2,210.0
Super built-up  Area,Kudlu Gate,0.25,0.0,0.6666666666666666,0.0011738607084945734,Ready To Move,0,83.0
Built-up  Area,Kanakpura Road,0.0,0.0,0.3333333333333333,0.0007262019637296937,Ready To Move,2,57.0
Super built-up  Area,Devanahalli,0.25,0.0,0.3333333333333333,0.0010399456993768744,Aug,2,65.0
Super built-up  Area,8th Phase JP Nagar,0.25,0.0,0.0,0.0008207076987356127,Mar,2,54.005
Super built-up  Area,Bommasandra Industrial Area,0.25,0.0,0.3333333333333333,0.0009787274094944978,May,2,50.4
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0009634228370239034,Jan,0,85.05
Built-up  Area,Hennur Road,1.0,0.9999999999999999,0.3333333333333333,0.0038253778890250147,Ready To Move,1,250.0
Super built-up  Area,Yelahanka,0.75,0.6666666666666666,0.3333333333333333,0.0023331820731420823,Dec,1,213.0
Super built-up  Area,Kasavanhalli,0.25,0.0,0.3333333333333333,0.0011953253713845818,Ready To Move,2,105.0
Super built-up  Area,ISRO Layout,0.0,0.0,0.3333333333333333,0.0007644633949061791,Ready To Move,2,60.0
Super built-up  Area,Anandapura,0.25,0.0,0.3333333333333333,0.0008922565750356405,Jul,2,43.76
Super built-up  Area,Vishveshwarya Layout,0.75,0.6666666666666666,0.6666666666666666,0.0030601492654953057,Ready To Move,1,225.0
Super built-up  Area,Kothanur,0.25,0.0,0.3333333333333333,0.001398072695188778,Ready To Move,2,110.0
Super built-up  Area,Kengeri Satellite Town,0.0,0.0,0.3333333333333333,0.0006802882463179112,Ready To Move,2,35.0
Super built-up  Area,Others,0.25,0.0,1.0,0.001232783312506361,Ready To Move,0,46.74
Plot  Area,Others,0.25,0.0,0.3333333333333333,0.0007904811681061892,Ready To Move,2,185.0
Super built-up  Area,Mysore Road,0.25,0.0,0.6666666666666666,0.0013077757176122725,Apr,0,91.31
Super built-up  Area,Kannamangala,0.0,0.0,0.3333333333333333,0.0007315585640944016,Ready To Move,2,58.0
Super built-up  Area,Devarachikkanahalli,0.25,0.0,1.0,0.0009557705507886063,May,0,44.0
Super built-up  Area,Others,0.5,0.33333333333333337,0.3333333333333333,0.0021380487741420066,Ready To Move,1,235.0
Super built-up  Area,Hulimavu,0.25,0.0,0.6666666666666666,0.0008601169728473927,Ready To Move,0,50.0
Super built-up  Area,Electronic City Phase II,0.25,0.0,0.3333333333333333,0.0007797679673767733,Jul,2,30.6
Super built-up  Area,Kalena Agrahara,0.25,0.0,0.6666666666666666,0.0009175091196121209,Ready To Move,0,50.0
Super built-up  Area,Thanisandra,0.25,0.0,1.0,0.0013269064332005153,Ready To Move,0,135.0
Super built-up  Area,Thanisandra,0.5,0.33333333333333337,0.3333333333333333,0.0015679534496123736,Ready To Move,1,145.0
Plot  Area,Mahalakshmi Layout,0.75,0.6666666666666666,0.0,0.0028688421096128786,Ready To Move,1,760.0
Built-up  Area,Others,0.25,0.0,1.0,0.0010322934131415773,Ready To Move,0,48.0
Super built-up  Area,Hosa Road,0.25,0.0,0.3333333333333333,0.0008126727981885508,May,2,32.0
Super built-up  Area,Others,0.25,0.0,0.3333333333333333,0.001456230070577036,Ready To Move,2,150.0
Built-up  Area,Whitefield,1.0,0.9999999999999999,0.6666666666666666,0.0032131949902012473,Ready To Move,1,420.0
Super built-up  Area,Others,0.25,0.0,0.3333333333333333,0.001529692018435888,Ready To Move,2,175.0
Super built-up  Area,Sarjapur,0.25,0.0,0.0,0.0009500313361121335,Dec,2,43.49
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0010896855599063055,Ready To Move,0,75.0
Super built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0011470777066710336,Ready To Move,2,64.5
Built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0008103771123179616,Ready To Move,2,60.0
Built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0011241208479651425,Ready To Move,0,70.0
Super built-up  Area,Others,0.25,0.0,0.0,0.000994031981965092,Ready To Move,2,99.0
Super built-up  Area,Attibele,0.0,0.0,0.3333333333333333,0.00034358765196483923,Ready To Move,2,11.0
Super built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0008807781456826949,Apr,2,64.5
Super built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0010322934131415773,Ready To Move,2,56.0
Super built-up  Area,CV Raman Nagar,0.25,0.0,1.0,0.001185339137847519,Ready To Move,0,65.0
Plot  Area,Others,0.25,0.0,0.6666666666666666,0.0011470777066710336,Ready To Move,0,100.0
Plot  Area,Kumaraswami Layout,0.0,0.0,0.6666666666666666,0.0004583719454942956,Ready To Move,0,85.0
Plot  Area,Nagavara,0.0,0.0,0.0,0.0003053262207883538,Ready To Move,2,14.0
Super built-up  Area,Malleshwaram,0.0,0.0,0.6666666666666666,0.000538720950964915,Ready To Move,0,67.0
Built-up  Area,Electronic City,0.0,0.0,0.3333333333333333,0.0005884608114943461,Ready To Move,2,36.0
Super built-up  Area,Hulimavu,0.25,0.0,1.0,0.0009496487218003687,Ready To Move,0,51.0
Super built-up  Area,Hebbal Kempapura,0.25,0.0,0.6666666666666666,0.0013001234313769754,Ready To Move,0,155.0
Super built-up  Area,Thanisandra,0.5,0.33333333333333337,0.6666666666666666,0.0016398849402241662,Ready To Move,1,145.0
Super built-up  Area,Vijayanagar,0.25,0.0,0.6666666666666666,0.0013031843458710943,Jun,0,110.0
Super built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0008180293985532587,Ready To Move,2,52.0
Plot  Area,Others,0.25,0.0,0.6666666666666666,0.001411846810412313,Ready To Move,0,300.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0010246411269062802,Ready To Move,0,55.7
Built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0007835941104944219,Ready To Move,2,46.0
Super built-up  Area,KR Puram,0.25,0.0,0.0,0.0009768143379356735,Ready To Move,2,56.8
Super built-up  Area,Marathahalli,0.25,0.0,0.6666666666666666,0.0009175091196121209,Ready To Move,0,52.0
Built-up  Area,Kanakpura Road,0.5,0.33333333333333337,0.3333333333333333,0.0017209991743183152,Dec,1,110.0
Super built-up  Area,Pattandur Agrahara,0.25,0.0,1.0,0.001185339137847519,Ready To Move,0,80.0
Plot  Area,Bellandur,0.25,0.0,0.3333333333333333,0.0009175091196121209,Ready To Move,2,325.0
Plot  Area,Others,0.25,0.0,0.3333333333333333,0.0013766462937299462,Ready To Move,2,250.0
Super built-up  Area,Marathahalli,0.25,0.0,0.6666666666666666,0.0009175091196121209,Ready To Move,0,60.0
Super built-up  Area,Yelahanka,0.25,0.0,0.6666666666666666,0.001014693154800394,Ready To Move,0,98.0
Super built-up  Area,Kothanur,0.25,0.0,0.6666666666666666,0.000906795918882705,Ready To Move,0,58.0
Built-up  Area,Others,0.25,0.0,0.3333333333333333,0.0013636374071299413,Ready To Move,2,115.0
Super built-up  Area,HSR Layout,0.25,0.0,0.6666666666666666,0.0010705548443180628,Ready To Move,0,56.0
Super built-up  Area,Nagasandra,0.0,0.0,0.3333333333333333,0.0007491588224355849,Ready To Move,2,48.0
Super built-up  Area,EPIP Zone,0.25,0.0,0.6666666666666666,0.0009825535526121463,Ready To Move,0,82.0
Super built-up  Area,Others,0.0,0.0,0.3333333333333333,0.0006971232760355648,Ready To Move,2,70.0
Built-up  Area,Whitefield,0.25,0.0,0.6666666666666666,0.0009366398352003636,Ready To Move,0,47.6
Super built-up  Area,Whitefield,0.25,0.0,0.3333333333333333,0.0008218555416709073,Ready To Move,2,53.0
Built-up  Area,Kadugodi,0.25,0.0,0.6666666666666666,0.0009634228370239034,Ready To Move,0,54.0
Super built-up  Area,Yelahanka,0.25,0.0,0.6666666666666666,0.0009802578667415572,Ready To Move,0,48.7
Super built-up  Area,Kogilu,0.25,0.0,0.6666666666666666,0.0014600562136946845,Ready To Move,0,88.0
Super built-up  Area,Panathur,0.25,0.0,0.3333333333333333,0.0010391804707533447,Ready To Move,2,87.0
Built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0009228657199768288,Ready To Move,0,43.5
Plot  Area,Padmanabhanagar,0.25,0.0,0.0,0.0013276716618240449,Ready To Move,2,190.0
Super built-up  Area,1st Block Jayanagar,0.5,0.33333333333333337,0.3333333333333333,0.0021801363484361407,May,1,428.0
Super built-up  Area,Kammasandra,0.25,0.0,0.6666666666666666,0.001219774425906356,Ready To Move,0,65.0
Built-up  Area,Others,0.25,0.0,0.6666666666666666,0.001375115836482887,Jun,0,89.0
Super built-up  Area,Electronics City Phase 1,0.25,0.0,0.6666666666666666,0.0011279469910827908,Ready To Move,0,78.29
Super built-up  Area,Others,0.25,0.0,1.0,0.0012082959965534104,Ready To Move,0,100.0
Super built-up  Area,Dasarahalli,0.25,0.0,0.3333333333333333,0.0009902058388474434,Ready To Move,2,65.0
Built-up  Area,Magadi Road,0.75,0.6666666666666666,0.0,0.002754057816083422,Ready To Move,1,141.0
Super built-up  Area,Electronic City,0.0,0.0,0.3333333333333333,0.00044995443063546877,Ready To Move,2,27.0
Super built-up  Area,Others,0.25,0.0,1.0,0.0010820332736710084,Ready To Move,0,78.0
Super built-up  Area,Sarjapur  Road,0.25,0.0,0.6666666666666666,0.00136669832162406,Dec,0,98.29
Super built-up  Area,Sarjapur  Road,0.25,0.0,0.6666666666666666,0.00136669832162406,Ready To Move,0,125.0
Super built-up  Area,Koramangala,0.25,0.0,1.0,0.0011279469910827908,Ready To Move,0,90.0
Built-up  Area,Others,0.25,0.0,0.3333333333333333,0.001529692018435888,Ready To Move,2,75.5
Super built-up  Area,Sarjapur  Road,0.0,0.0,0.3333333333333333,0.0007522197369297038,Mar,2,44.28
Super built-up  Area,Devanahalli,0.25,0.0,0.3333333333333333,0.0012465574277298957,Dec,2,74.82
Super built-up  Area,Others,0.5,0.33333333333333337,0.6666666666666666,0.00183960961096542,Ready To Move,1,260.0
Built-up  Area,7th Phase JP Nagar,0.25,0.0,0.6666666666666666,0.0008256816847885558,Ready To Move,0,72.0
Plot  Area,Others,0.25,0.0,0.3333333333333333,0.0011470777066710336,Ready To Move,2,115.0
Super built-up  Area,Hebbal,0.25,0.0,0.6666666666666666,0.0014531691560829172,Ready To Move,0,119.0
Super built-up  Area,Dommasandra,0.0,0.0,0.3333333333333333,0.0006152438133178859,Aug,2,22.14
Super built-up  Area,Budigere,0.25,0.0,0.6666666666666666,0.0008815433743062246,Ready To Move,0,56.4
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0008777172311885761,Ready To Move,0,60.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0008486385434944471,Ready To Move,0,55.0
Built-up  Area,Electronic City,0.25,0.0,0.6666666666666666,0.00084098625725915,Ready To Move,0,42.0
Super built-up  Area,Kalyan nagar,0.25,0.0,0.6666666666666666,0.0009863796957297949,Ready To Move,0,110.0
Super built-up  Area,Others,0.25,0.0,0.3333333333333333,0.0011470777066710336,Ready To Move,2,65.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0008256816847885558,Apr,0,39.0
Super built-up  Area,Vijayanagar,0.25,0.0,0.3333333333333333,0.0014784217006593976,Jun,2,129.0
Built-up  Area,Ramamurthy Nagar,0.75,0.6666666666666666,0.6666666666666666,0.0026775349537304515,Ready To Move,1,150.0
Built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0008103771123179616,Ready To Move,0,60.0
Super built-up  Area,Chandapura,0.0,0.0,0.3333333333333333,0.0004928072335531325,Aug,2,16.45
Plot  Area,Others,0.5,0.33333333333333337,0.6666666666666666,0.0019888291925537135,Ready To Move,1,180.0
Super built-up  Area,Chandapura,0.0,0.0,0.3333333333333333,0.0004928072335531325,Sep,2,16.45
Super built-up  Area,Others,0.25,0.0,1.0,0.0012572706284593117,Ready To Move,0,84.0
Super built-up  Area,Others,0.25,0.0,1.0,0.0009825535526121463,Ready To Move,0,72.5
Plot  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0009175091196121209,Ready To Move,2,90.0
Super built-up  Area,Electronic City,0.0,0.0,0.3333333333333333,0.0006955928187885053,Ready To Move,2,40.0
Super built-up  Area,Kothanur,0.25,0.0,0.3333333333333333,0.0012060003106828213,Ready To Move,2,70.0
Plot  Area,Others,1.0,0.9999999999999999,0.6666666666666666,0.0030984106966717912,May,1,280.0
Super built-up  Area,OMBR Layout,0.5,0.33333333333333337,0.6666666666666666,0.0018510880403183657,Ready To Move,1,185.0
Super built-up  Area,Chandapura,0.0,0.0,0.3333333333333333,0.0006114176702002374,Ready To Move,2,20.0
Built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0008103771123179616,Ready To Move,0,55.0
Super built-up  Area,7th Phase JP Nagar,0.25,0.0,0.6666666666666666,0.0009710751232592005,Ready To Move,0,93.0
Super built-up  Area,Others,0.0,0.0,0.6666666666666666,0.0006879405325532082,Jun,0,22.5
Built-up  Area,Others,0.25,0.0,0.3333333333333333,0.0009787274094944978,Ready To Move,2,69.0
Plot  Area,Horamavu Agara,0.25,0.0,0.0,0.0009175091196121209,Ready To Move,2,95.0
